"STATION","NAME","DATE","ACSH","PRCP","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-02-10","  100","0.00","53","36",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-02-11","   20","0.00","51","20",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-02-12","  100","0.19","51","23",,"    1","    1",,"    1",,,,,,,,,,,"    1",,"    1",,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-02-13","  100","0.13","23","17",,"    1",,,,,,,,,,,,,,,,"    1",,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-02-14","  100","0.13","28","16",,"    1",,,"    1",,"    1",,,,,,,,,"    1",,"    1",,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-02-15","   70","0.00","34","19",,"    1",,,,,,,"    1",,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-02-16","  100","0.00","54","24",,"    1",,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-02-17","  100","0.01","33","26",,"    1","    1",,,,"    1",,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-02-18","  100","0.01","32","26",,"    1","    1",,,,"    1",,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-02-19","   80","0.00","60","31",,"    1","    1",,,,"    1",,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-02-20","   80","0.00","72","32",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-02-21","   80","0.01","37","18",,,,,"    1",,"    1",,,,,,,,,"    1",,"    1",,,
